Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Duration,Total Packets,Total Length,Packet Length Min,Packet Length Max,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Flow IAT Total,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Active Mean,Active Std,Idle Mean,Idle Std
142.250.198.110-192.53.53.104-0-0-UDP,142.250.198.110,0,192.53.53.104,0,UDP,0.07018799999999992,7,4459,68,1292,63529.378241294886,99.73214794551787,0.011697999999999986,0.01789587828523666,0.03886700000000065,0.0,0.07018799999999992,0,0,0,0,0,0,0,0,0.023395999999999972,0.019751621123341084,0.0,0.0
142.250.76.234-192.53.53.104-0-0-UDP,142.250.76.234,0,192.53.53.104,0,UDP,0.0,1,67,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.240.211.1-192.53.53.104-0-0-TCP,157.240.211.1,0,192.53.53.104,0,TCP,0.39467300000000005,3,198,66,66,501.68113856281013,7.6012293721637905,0.19733650000000003,0.2772473765150905,0.3933800000000005,0.0012929999999995445,0.39467300000000005,0,0,0,0,3,0,0,0,0.19733650000000003,0.2772473765150905,0,0
157.240.211.1-192.53.53.104-0-0-TLSv1.2,157.240.211.1,0,192.53.53.104,0,TLSv1.2,0.4025970000000001,3,282,94,94,700.452313355539,7.45162035484616,0.20129850000000005,0.2785583524874096,0.398269,0.0043280000000001095,0.4025970000000001,0,0,0,0,0,0,0,0,0.20129850000000005,0.2785583524874096,0,0
163.70.158.14-192.53.53.104-0-0-TCP,163.70.158.14,0,192.53.53.104,0,TCP,0.19620100000000001,4,264,66,66,1345.55889113715,20.387255926320456,0.06540033333333334,0.1130282407026374,0.19591400000000003,1.000000000001e-06,0.19620100000000001,0,0,0,0,4,0,0,0,0.06540033333333334,0.1130282407026374,0,0
163.70.158.14-192.53.53.104-0-0-TLSv1.2,163.70.158.14,0,192.53.53.104,0,TLSv1.2,0.01585700000000001,2,208,98,110,13117.235290408013,126.12726240776936,0.01585700000000001,0,0.01585700000000001,0.01585700000000001,0.01585700000000001,0,0,0,0,0,0,0,0,0.01585700000000001,0,0,0
192.53.53.104-142.250.198.110-0-0-UDP,192.53.53.104,0,142.250.198.110,0,UDP,0.0696810000000001,3,917,75,762,13159.971871815827,43.05334309209103,0.03484050000000005,0.006001215251930009,0.0390839999999999,0.030597000000000207,0.0696810000000001,0,0,0,0,0,0,0,0,0.03484050000000005,0.006001215251930009,0,0
192.53.53.104-142.250.76.234-0-0-UDP,192.53.53.104,0,142.250.76.234,0,UDP,0.0,1,71,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192.53.53.104-157.240.211.1-0-0-TCP,192.53.53.104,0,157.240.211.1,0,TCP,0.4025959999999995,3,198,66,66,491.8081650090916,7.451638863774115,0.20129799999999975,0.2785859296518757,0.39828799999999953,0.0043079999999999785,0.4025959999999995,0,0,0,0,3,0,0,0,0.20129799999999975,0.2785859296518757,0,0
192.53.53.104-157.240.211.1-0-0-TLSv1.2,192.53.53.104,0,157.240.211.1,0,TLSv1.2,0.4028750000000003,3,294,98,98,729.7548867514732,7.446478436239523,0.20143750000000016,0.2846635124361738,0.4027249999999998,0.0001500000000005386,0.4028750000000003,0,0,0,0,0,0,0,0,0.20143750000000016,0.2846635124361738,0,0
