Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Duration,Total Packets,Total Length,Packet Length Min,Packet Length Max,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Flow IAT Total,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count
128.167.178.183-71.126.222.64-80-47141-TCP,128.167.178.183,80,71.126.222.64,47141,TCP,47.980319,2,104,52,52,2.167555409541983,0.041683757875807366,47.980319,0,47.980319,47.980319,47.980319,2,0,0,0,2,0,0,0
128.167.178.183-71.126.222.64-80-54938-TCP,128.167.178.183,80,71.126.222.64,54938,TCP,72.02046200000001,5,3192,64,1500,44.32073762592636,0.06942471432632576,18.005115500000002,17.890783243544693,42.952678999999996,5.027285000000006,72.02046200000001,0,0,0,0,5,0,0,0
128.167.178.183-71.126.222.64-80-57208-TCP,128.167.178.183,80,71.126.222.64,57208,TCP,47.979902,2,104,52,52,2.167574248067451,0.04168412015514329,47.979902,0,47.979902,47.979902,47.979902,2,0,0,0,2,0,0,0
177.125.179.204-71.126.222.64-80-36851-TCP,177.125.179.204,80,71.126.222.64,36851,TCP,0.25417600000000107,5,1006,46,446,3957.887448067464,19.67140878761165,0.06354400000000027,0.08030772023078925,0.16707999999999856,5.000000015797923e-06,0.25417600000000107,1,1,0,2,6,0,0,0
177.125.179.204-71.126.222.64-80-48844-TCP,177.125.179.204,80,71.126.222.64,48844,TCP,0.08762999999999899,4,954,46,440,10886.68264293063,45.64646810453094,0.029209999999999663,0.050138225457230096,0.08710400000000007,2.7999999998584713e-05,0.08762999999999899,1,1,0,2,5,0,0,0
177.125.179.204-71.126.222.64-80-48845-TCP,177.125.179.204,80,71.126.222.64,48845,TCP,0.1742000000000008,7,6841,52,1500,39270.95292766917,40.183696900114626,0.029033333333333466,0.04454645238699355,0.08920499999999976,7.000000000090267e-06,0.1742000000000008,1,1,0,2,8,0,0,0
177.125.179.204-71.126.222.64-80-48846-TCP,177.125.179.204,80,71.126.222.64,48846,TCP,5.274566,5,998,46,438,189.20988001666868,0.9479452906646727,1.3186415,2.579471416578922,5.187359000000001,7.000000000090267e-06,5.274566,1,1,0,2,6,0,0,0
177.125.179.204-71.126.222.64-80-48850-TCP,177.125.179.204,80,71.126.222.64,48850,TCP,0.17331899999999933,5,1007,46,447,5810.095834847904,28.848539398450367,0.043329749999999834,0.0499844793069144,0.08672900000000006,7.000000000090267e-06,0.17331899999999933,1,1,0,2,6,0,0,0
177.125.179.204-71.126.222.64-80-48851-TCP,177.125.179.204,80,71.126.222.64,48851,TCP,0.2123980000000003,5,1000,46,440,4708.142261226559,23.540711306132792,0.05309950000000008,0.06321107874152115,0.12532100000000135,7.000000000090267e-06,0.2123980000000003,1,1,0,2,6,0,0,0
177.125.179.204-71.126.222.64-80-48852-TCP,177.125.179.204,80,71.126.222.64,48852,TCP,0.17369400000000113,7,6784,52,1500,39057.19253399631,40.30075880571554,0.028949000000000186,0.04456654524191932,0.08881700000000059,7.000000000090267e-06,0.17369400000000113,1,1,0,2,8,0,0,0
177.125.179.204-71.126.222.64-80-48860-TCP,177.125.179.204,80,71.126.222.64,48860,TCP,0.22123299999999801,5,1006,46,446,4547.242047976609,22.600606600281353,0.055308249999999504,0.06618846506945224,0.1319340000000011,5.999999999062311e-06,0.22123299999999801,1,1,0,2,6,0,0,0
177.125.179.204-71.126.222.64-80-48861-TCP,177.125.179.204,80,71.126.222.64,48861,TCP,0.27446199999999976,8,6581,46,1500,23977.818422951103,29.147933047197817,0.03920885714285711,0.04868086766354962,0.09662900000000718,0.00011800000000050659,0.27446199999999976,1,1,0,2,9,0,0,0
177.125.179.204-71.126.222.64-80-48876-TCP,177.125.179.204,80,71.126.222.64,48876,TCP,0.1750560000000121,7,6772,52,1500,38684.763732745705,39.98720409468694,0.029176000000002016,0.04481949710114867,0.09000800000001163,7.000000010748408e-06,0.1750560000000121,1,1,0,2,8,0,0,0
177.125.179.204-71.126.222.64-80-48877-TCP,177.125.179.204,80,71.126.222.64,48877,TCP,5.260924000000017,5,1012,46,452,192.36164597701787,0.9504033892145152,1.3152310000000043,2.572278016791096,5.1731490000000235,4.9999999873762135e-06,5.260924000000017,1,1,0,2,6,0,0,0
177.125.179.204-71.126.222.64-80-48881-TCP,177.125.179.204,80,71.126.222.64,48881,TCP,0.1776450000000125,5,1005,46,445,5657.350333529957,28.146021559850535,0.04441125000000312,0.05128613556232119,0.0906840000000102,6.000000013273166e-06,0.1776450000000125,1,1,0,2,6,0,0,0
