Time,Source,Destination,Protocol,Length,Info,label
2018-11-03 10:09:03.103196,172.16.0.5,192.168.50.4,17,458.0,773 -> 24832,NetBIOS
2018-11-03 10:22:57.138050,172.16.0.5,192.168.50.4,17,2944.0,645 -> 27377,LDAP
2018-11-03 10:09:13.255530,172.16.0.5,192.168.50.4,17,458.0,950 -> 16627,NetBIOS
2018-11-03 10:27:56.056865,172.16.0.5,192.168.50.4,17,2944.0,661 -> 60958,LDAP
2018-11-03 10:28:18.453913,172.16.0.5,192.168.50.4,17,2944.0,773 -> 2289,LDAP
2018-11-03 10:25:46.307438,172.16.0.5,192.168.50.4,17,2944.0,915 -> 56856,LDAP
2018-11-03 10:28:56.177498,172.16.0.5,192.168.50.4,17,2944.0,1020 -> 55475,LDAP
2018-11-03 10:22:05.290021,172.16.0.5,192.168.50.4,17,2944.0,900 -> 28899,LDAP
2018-11-03 10:23:50.262566,172.16.0.5,192.168.50.4,17,2848.0,939 -> 53113,LDAP
2018-11-03 10:09:09.325999,172.16.0.5,192.168.50.4,17,458.0,525 -> 16051,NetBIOS
2018-11-03 10:25:17.443886,172.16.0.5,192.168.50.4,17,2944.0,996 -> 47442,LDAP
2018-11-03 10:26:51.995716,172.16.0.5,192.168.50.4,17,2944.0,765 -> 3452,LDAP
2018-11-03 10:09:24.416249,172.16.0.5,192.168.50.4,17,458.0,648 -> 61599,NetBIOS
2018-11-03 10:27:36.216571,172.16.0.5,192.168.50.4,17,2944.0,839 -> 9520,LDAP
2018-11-03 10:27:14.042636,172.16.0.5,192.168.50.4,17,2544.0,900 -> 63283,LDAP
2018-11-03 10:28:22.610293,172.16.0.5,192.168.50.4,17,2944.0,900 -> 61757,LDAP
2018-11-03 10:27:11.019585,172.16.0.5,192.168.50.4,17,2944.0,900 -> 51407,LDAP
2018-11-03 10:23:07.713760,172.16.0.5,192.168.50.4,17,2944.0,991 -> 24532,LDAP
2018-11-03 10:23:58.889215,172.16.0.5,192.168.50.4,17,2848.0,915 -> 42749,LDAP
2018-11-03 10:28:29.277637,172.16.0.5,192.168.50.4,17,2944.0,1017 -> 33999,LDAP
2018-11-03 10:09:23.132992,172.16.0.5,192.168.50.4,17,458.0,648 -> 47751,NetBIOS
2018-11-03 10:25:54.405324,172.16.0.5,192.168.50.4,17,2944.0,718 -> 6208,LDAP
2018-11-03 10:26:21.099001,172.16.0.5,192.168.50.4,17,2944.0,726 -> 41891,LDAP
2018-11-03 10:24:58.480921,172.16.0.5,192.168.50.4,17,2944.0,592 -> 9272,LDAP
2018-11-03 10:26:47.648096,172.16.0.5,192.168.50.4,17,2944.0,900 -> 60567,LDAP
2018-11-03 10:26:24.762822,172.16.0.5,192.168.50.4,17,2944.0,900 -> 9354,LDAP
2018-11-03 10:25:31.625556,172.16.0.5,192.168.50.4,17,2944.0,803 -> 28604,LDAP
2018-11-03 10:23:53.848354,172.16.0.5,192.168.50.4,17,2848.0,795 -> 6313,LDAP
2018-11-03 10:21:55.088432,172.16.0.5,192.168.50.4,17,2944.0,900 -> 35144,LDAP
2018-11-03 10:28:35.635633,172.16.0.5,192.168.50.4,17,2944.0,521 -> 37624,LDAP
2018-11-03 10:09:01.167231,172.16.0.5,192.168.50.4,17,458.0,860 -> 61166,NetBIOS
2018-11-03 10:27:09.386797,172.16.0.5,192.168.50.4,17,2944.0,851 -> 43581,LDAP
2018-11-03 10:28:54.531149,172.16.0.5,192.168.50.4,17,2944.0,921 -> 18109,LDAP
2018-11-03 10:22:29.608795,172.16.0.5,192.168.50.4,17,2944.0,618 -> 51126,LDAP
2018-11-03 10:28:33.947027,172.16.0.5,192.168.50.4,17,2944.0,900 -> 3619,LDAP
2018-11-03 10:29:41.249855,172.16.0.5,192.168.50.4,17,2944.0,976 -> 19780,LDAP
2018-11-03 10:28:02.841414,172.16.0.5,192.168.50.4,17,2944.0,900 -> 12847,LDAP
2018-11-03 10:23:59.560222,172.16.0.5,192.168.50.4,17,2944.0,567 -> 31325,LDAP
2018-11-03 10:24:26.705864,172.16.0.5,192.168.50.4,17,2944.0,542 -> 39211,LDAP
2018-11-03 10:23:10.995307,172.16.0.5,192.168.50.4,17,2944.0,802 -> 1223,LDAP
2018-11-03 10:28:06.557122,172.16.0.5,192.168.50.4,17,2944.0,639 -> 28729,LDAP
2018-11-03 10:26:50.072645,172.16.0.5,192.168.50.4,17,2944.0,589 -> 49410,LDAP
2018-11-03 10:28:54.455432,172.16.0.5,192.168.50.4,17,2944.0,665 -> 59274,LDAP
2018-11-03 10:25:10.342784,172.16.0.5,192.168.50.4,17,2944.0,712 -> 20181,LDAP
2018-11-03 10:22:45.716441,172.16.0.5,192.168.50.4,17,2944.0,753 -> 11837,LDAP
2018-11-03 10:25:44.043826,172.16.0.5,192.168.50.4,17,2944.0,536 -> 43184,LDAP
2018-11-03 10:09:09.116475,172.16.0.5,192.168.50.4,17,458.0,638 -> 53094,NetBIOS
2018-11-03 10:29:50.436114,172.16.0.5,192.168.50.4,17,2896.0,921 -> 46730,LDAP
2018-11-03 10:24:15.084495,172.16.0.5,192.168.50.4,17,2944.0,798 -> 38182,LDAP
2018-11-03 10:26:32.743530,172.16.0.5,192.168.50.4,17,2944.0,907 -> 47772,LDAP
2018-11-03 10:22:38.768894,172.16.0.5,192.168.50.4,17,2944.0,755 -> 33594,LDAP
2018-11-03 10:24:20.876311,172.16.0.5,192.168.50.4,17,2944.0,751 -> 41019,LDAP
2018-11-03 10:25:59.627181,172.16.0.5,192.168.50.4,17,2928.0,824 -> 25819,LDAP
2018-11-03 10:24:44.454932,172.16.0.5,192.168.50.4,17,2944.0,514 -> 41778,LDAP
2018-11-03 10:25:32.239307,172.16.0.5,192.168.50.4,17,2944.0,900 -> 32416,LDAP
2018-11-03 10:26:37.448905,172.16.0.5,192.168.50.4,17,2944.0,572 -> 11417,LDAP
2018-11-03 10:25:45.464752,172.16.0.5,192.168.50.4,17,2944.0,981 -> 41027,LDAP
2018-11-03 10:22:31.886616,172.16.0.5,192.168.50.4,17,2944.0,665 -> 11254,LDAP
2018-11-03 10:26:16.221721,172.16.0.5,192.168.50.4,17,2944.0,551 -> 728,LDAP
2018-11-03 10:09:19.105668,172.16.0.5,192.168.50.4,17,458.0,959 -> 49518,NetBIOS
2018-11-03 10:27:39.936772,172.16.0.5,192.168.50.4,17,2944.0,986 -> 11217,LDAP
2018-11-03 10:24:18.891552,172.16.0.5,192.168.50.4,17,2944.0,518 -> 39126,LDAP
2018-11-03 10:29:30.908160,172.16.0.5,192.168.50.4,17,2944.0,910 -> 63249,LDAP
2018-11-03 10:25:07.907751,172.16.0.5,192.168.50.4,17,2944.0,607 -> 56223,LDAP
2018-11-03 10:22:12.149868,172.16.0.5,192.168.50.4,17,2944.0,758 -> 26602,LDAP
2018-11-03 10:09:15.223110,172.16.0.5,192.168.50.4,17,458.0,661 -> 28422,NetBIOS
2018-11-03 10:09:07.011853,172.16.0.5,192.168.50.4,17,458.0,983 -> 5209,NetBIOS
2018-11-03 10:27:37.894706,172.16.0.5,192.168.50.4,17,2944.0,959 -> 13562,LDAP
2018-11-03 10:29:40.499913,172.16.0.5,192.168.50.4,17,2944.0,512 -> 35173,LDAP
2018-11-03 10:09:06.224940,172.16.0.5,192.168.50.4,17,458.0,767 -> 26035,NetBIOS
2018-11-03 10:23:04.753921,172.16.0.5,192.168.50.4,17,2944.0,884 -> 51882,LDAP
2018-11-03 10:28:00.219236,172.16.0.5,192.168.50.4,17,2944.0,900 -> 43215,LDAP
2018-11-03 10:25:02.344076,172.16.0.5,192.168.50.4,17,2944.0,607 -> 36716,LDAP
2018-11-03 10:29:49.894589,172.16.0.5,192.168.50.4,17,2896.0,672 -> 20675,LDAP
2018-11-03 10:23:09.883346,172.16.0.5,192.168.50.4,17,2944.0,929 -> 38790,LDAP
2018-11-03 10:27:44.029924,172.16.0.5,192.168.50.4,17,2944.0,568 -> 47678,LDAP
2018-11-03 10:24:55.071825,172.16.0.5,192.168.50.4,17,2864.0,978 -> 20814,LDAP
2018-11-03 10:29:42.732251,172.16.0.5,192.168.50.4,17,2944.0,757 -> 60550,LDAP
2018-11-03 10:23:30.239690,172.16.0.5,192.168.50.4,17,2944.0,944 -> 37924,LDAP
2018-11-03 10:28:41.523628,172.16.0.5,192.168.50.4,17,2944.0,922 -> 62130,LDAP
2018-11-03 10:22:23.381459,172.16.0.5,192.168.50.4,17,2944.0,900 -> 62368,LDAP
2018-11-03 10:25:43.464571,172.16.0.5,192.168.50.4,17,2944.0,900 -> 34877,LDAP
2018-11-03 10:24:18.156918,172.16.0.5,192.168.50.4,17,2944.0,634 -> 23318,LDAP
2018-11-03 10:28:11.548689,172.16.0.5,192.168.50.4,17,2944.0,891 -> 36848,LDAP
2018-11-03 10:26:09.311238,172.16.0.5,192.168.50.4,17,2944.0,600 -> 44371,LDAP
2018-11-03 10:26:28.823849,172.16.0.5,192.168.50.4,17,2944.0,633 -> 7960,LDAP
2018-11-03 10:28:37.753353,172.16.0.5,192.168.50.4,17,2944.0,790 -> 17902,LDAP
2018-11-03 10:09:18.213486,172.16.0.5,192.168.50.4,17,422.0,651 -> 14497,NetBIOS
2018-11-03 10:09:01.499435,172.16.0.5,192.168.50.4,17,458.0,539 -> 57892,NetBIOS
2018-11-03 10:26:18.421627,172.16.0.5,192.168.50.4,17,2944.0,556 -> 40532,LDAP
2018-11-03 10:22:25.736518,172.16.0.5,192.168.50.4,17,2944.0,730 -> 31583,LDAP
2018-11-03 10:22:22.534161,172.16.0.5,192.168.50.4,17,2944.0,940 -> 52945,LDAP
2018-11-03 10:09:22.041502,172.16.0.5,192.168.50.4,17,458.0,648 -> 50954,NetBIOS
2018-11-03 10:09:20.272355,172.16.0.5,192.168.50.4,17,458.0,1016 -> 40860,NetBIOS
2018-11-03 10:27:09.641136,172.16.0.5,192.168.50.4,17,2944.0,662 -> 38991,LDAP
2018-11-03 10:24:26.647620,172.16.0.5,192.168.50.4,17,2944.0,819 -> 40572,LDAP
2018-11-03 10:28:45.550791,172.16.0.5,192.168.50.4,17,2944.0,900 -> 20215,LDAP
2018-11-03 10:09:07.621852,172.16.0.5,192.168.50.4,17,458.0,648 -> 18976,NetBIOS
2018-11-03 10:23:47.580147,172.16.0.5,192.168.50.4,17,2944.0,635 -> 37971,LDAP
2018-11-03 10:09:18.135325,172.16.0.5,192.168.50.4,17,458.0,672 -> 29679,NetBIOS
2018-11-03 10:22:33.623234,172.16.0.5,192.168.50.4,17,2944.0,943 -> 35056,LDAP
2018-11-03 10:09:24.147653,172.16.0.5,192.168.50.4,17,458.0,818 -> 51570,NetBIOS
2018-11-03 10:26:15.008559,172.16.0.5,192.168.50.4,17,2944.0,863 -> 56945,LDAP
2018-11-03 10:24:30.912213,172.16.0.5,192.168.50.4,17,2944.0,549 -> 47836,LDAP
2018-11-03 10:26:58.837974,172.16.0.5,192.168.50.4,17,2944.0,900 -> 3712,LDAP
2018-11-03 10:28:54.791588,172.16.0.5,192.168.50.4,17,2944.0,794 -> 19985,LDAP
2018-11-03 10:29:20.331394,172.16.0.5,192.168.50.4,17,2944.0,547 -> 56491,LDAP
2018-11-03 10:24:03.943026,172.16.0.5,192.168.50.4,17,2944.0,705 -> 40518,LDAP
2018-11-03 10:22:26.208517,172.16.0.5,192.168.50.4,17,2944.0,868 -> 32292,LDAP
2018-11-03 10:28:11.946767,172.16.0.5,192.168.50.4,17,2944.0,643 -> 37686,LDAP
2018-11-03 10:21:55.487742,172.16.0.5,192.168.50.4,17,2944.0,900 -> 38265,LDAP
2018-11-03 10:28:45.839770,172.16.0.5,192.168.50.4,17,2944.0,920 -> 59700,LDAP
2018-11-03 10:27:34.849258,172.16.0.5,192.168.50.4,17,2944.0,840 -> 31434,LDAP
2018-11-03 10:27:42.042628,172.16.0.5,192.168.50.4,17,2944.0,720 -> 27139,LDAP
2018-11-03 10:29:07.334633,172.16.0.5,192.168.50.4,17,2944.0,970 -> 55499,LDAP
2018-11-03 10:23:09.136221,172.16.0.5,192.168.50.4,17,2944.0,573 -> 63239,LDAP
2018-11-03 10:27:56.961979,172.16.0.5,192.168.50.4,17,2944.0,805 -> 5978,LDAP
2018-11-03 10:28:59.313739,172.16.0.5,192.168.50.4,17,2944.0,900 -> 40122,LDAP
2018-11-03 10:24:13.919893,172.16.0.5,192.168.50.4,17,2944.0,753 -> 56913,LDAP
